location,listPrice,livingArea,additionalArea,plotArea,source,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,rent,floor,isNewConstruction
"{'address': {'streetAddress': 'Örjesbovägen 29', 'city': 'Grycksbo'}, 'position': {'latitude': 60.68549008, 'longitude': 15.49386106}, 'namedAreas': ['Grycksbo'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2100000.0,168.0,37.0,1078.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",7.0,2021-02-18 11:16:12,1982.0,Villa,4122569,2021-02-24,3170000,maklare,https://www.booli.se/annons/4122569,,,
"{'address': {'streetAddress': 'Bondegatan 7', 'city': 'Falun'}, 'position': {'latitude': 60.60076664, 'longitude': 15.62231168}, 'namedAreas': ['Elsborg'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4695000.0,125.0,20.0,721.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",5.0,2021-02-12 17:04:19,1909.0,Villa,4117152,2021-03-08,4500000,bid,https://www.booli.se/annons/4117152,,,
"{'address': {'streetAddress': 'Humlebacksvägen 34', 'city': 'Falun'}, 'position': {'latitude': 60.591518, 'longitude': 15.713148}, 'namedAreas': ['Hälsingberg'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3195000.0,134.0,,468.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",5.0,2021-02-11 18:13:55,1982.0,Villa,4115659,2021-02-20,3600000,maklare,https://www.booli.se/annons/4115659,,,
"{'address': {'streetAddress': 'Karlborn 69'}, 'position': {'latitude': 60.64563839, 'longitude': 15.78450933}, 'namedAreas': ['Sundborn'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2100000.0,122.0,61.0,1549.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",4.0,2021-02-18 02:07:49,1948.0,Villa,4122324,2021-03-03,2830000,maklare,https://www.booli.se/annons/4122324,,,
"{'address': {'streetAddress': 'Vretstigen 4', 'city': 'Falun'}, 'position': {'latitude': 60.59459763, 'longitude': 15.67162294}, 'namedAreas': ['Haraldsbo'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3450000.0,145.0,178.0,1023.0,"{'name': 'Fastighetsbyrån', 'id': 1573, 'type': 'Broker', 'url': 'http://www.fastighetsbyran.se/'}",8.0,2021-02-12 21:24:41,1967.0,Villa,4109515,2021-03-04,5150000,bid,https://www.booli.se/annons/4109515,,,
"{'address': {'streetAddress': 'Hästbergsringen 16', 'city': 'Falun'}, 'position': {'latitude': 60.62328796, 'longitude': 15.6309321}, 'namedAreas': ['Britsarvet'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",4650000.0,152.0,16.0,980.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",6.0,2021-01-31 17:28:49,1972.0,Villa,3823506,2021-02-16,5750000,maklare,https://www.booli.se/annons/3823506,,,
"{'address': {'streetAddress': 'Sneslandsvägen 4', 'city': 'Falun'}, 'position': {'latitude': 60.61862334, 'longitude': 15.58922691}, 'namedAreas': ['Varggården'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",3700000.0,131.0,,1305.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",4.0,2021-01-14 11:52:22,1977.0,Villa,4086122,2021-01-31,4275000,maklare,https://www.booli.se/annons/4086122,,,
"{'address': {'streetAddress': 'Hagvägen 6', 'city': 'Svärdsjö'}, 'position': {'latitude': 60.73560569, 'longitude': 15.90456137}, 'namedAreas': ['Svärdsjö'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",1350000.0,80.0,32.0,955.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",4.0,2021-02-16 18:24:49,1958.0,Villa,4120525,2021-03-01,1700000,bid,https://www.booli.se/annons/4120525,,,
"{'address': {'streetAddress': 'Uddnäsvägen 62', 'city': 'Falun'}, 'position': {'latitude': 60.5755541, 'longitude': 15.7674497}, 'namedAreas': ['Falun'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",10850000.0,195.0,59.0,2100.0,"{'name': 'Svensk Fastighetsförmedling', 'id': 713, 'type': 'Broker', 'url': 'http://www.svenskfast.se/'}",6.0,2021-01-31 21:57:51,2001.0,Villa,4103433,2021-02-05,12500000,maklare,https://www.booli.se/annons/4103433,,,
"{'address': {'streetAddress': 'Österbo 96'}, 'position': {'latitude': 60.52132358, 'longitude': 15.74439402}, 'namedAreas': ['Vika'], 'region': {'municipalityName': 'Falun', 'countyName': 'Dalarnas län'}}",2750000.0,153.0,,2237.0,"{'name': 'SkandiaMäklarna', 'id': 1570, 'type': 'Broker', 'url': 'http://www.skandiamaklarna.se/'}",7.0,2021-02-09 21:12:01,1992.0,Villa,4113131,2021-03-01,3470000,bid,https://www.booli.se/annons/4113131,,,
